Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Steve Masiello,Manhattan,MAAC,21.0,13.0,0.618,,,,2011-12,21.0,13.0,0.618,,,,,21,13,0.618,,,,
Matt Matheny,Elon,Southern,15.0,16.0,0.484,,,,2009-10,38.0,56.0,0.404,,,,,38,56,0.404,,,,
Thad Matta,Ohio State,Big Ten,31.0,8.0,0.795,3.0,7.0,Lost National Semifinal,2004-05,221.0,65.0,0.773,6.0,4.0,2.0,,323,96,0.771,10.0,5.0,2.0,
Fran McCaffery,Iowa,Big Ten,18.0,17.0,0.514,,,,2010-11,29.0,37.0,0.439,,,,,280,214,0.567,5.0,,,
Ray McCallum,Detroit Mercy,Horizon,22.0,14.0,0.611,,,Lost Second Round,2008-09,66.0,67.0,0.496,1.0,,,,236,216,0.522,3.0,,,
Mike McConathy,Northwestern State,Southland,16.0,16.0,0.5,,,,1999-00,200.0,204.0,0.495,2.0,,,,200,204,0.495,2.0,,,
Greg McDermott,Creighton,MVC,29.0,6.0,0.829,,19.0,Lost Third Round,2010-11,52.0,22.0,0.703,1.0,,,,201,153,0.568,4.0,,,
Ken McDonald,Western Kentucky,Sun Belt,5.0,11.0,0.312,,,Lost Second Round,2008-09,67.0,49.0,0.578,2.0,,,,67,49,0.578,2.0,,,
Bob McKillop,Davidson,Southern,25.0,8.0,0.758,,,Lost Second Round,1989-90,426.0,271.0,0.611,6.0,1.0,,,426,271,0.611,6.0,1.0,,
Marvin Menzies,New Mexico State,WAC,26.0,10.0,0.722,,,Lost Second Round,2007-08,102.0,68.0,0.6,2.0,,,,102,68,0.6,2.0,,,
Joe Mihalich,Niagara,MAAC,14.0,19.0,0.424,,,,1998-99,246.0,189.0,0.566,2.0,,,,246,189,0.566,2.0,,,
Tim Miles,Colorado State,MWC,20.0,12.0,0.625,,,Lost Second Round,2007-08,71.0,88.0,0.447,1.0,,,,107,108,0.498,1.0,,,
Archie Miller,Dayton,A-10,20.0,13.0,0.606,,,,2011-12,20.0,13.0,0.606,,,,,20,13,0.606,,,,
Mike Miller,Eastern Illinois,OVC,12.0,17.0,0.414,,,,2005-06,75.0,130.0,0.366,,,,,162,209,0.437,1.0,,,
Sean Miller,Arizona,Pac-12,23.0,12.0,0.657,16.0,,,2009-10,69.0,35.0,0.663,1.0,1.0,,,189,82,0.697,5.0,3.0,,
Wes Miller,UNC Greensboro,Southern,11.0,11.0,0.5,,,,2011-12,11.0,11.0,0.5,,,,,11,11,0.5,,,,
Fang Mitchell,Coppin State,MEAC,14.0,16.0,0.467,,,,1986-87,409.0,373.0,0.523,4.0,,,,409,373,0.523,4.0,,,
Jim Molinari,Western Illinois,Summit,18.0,15.0,0.545,,,,2008-09,47.0,75.0,0.385,,,,,270,261,0.508,2.0,,,
Randy Monroe,UMBC,AEC,4.0,26.0,0.133,,,,2004-05,85.0,159.0,0.348,1.0,,,,85,159,0.348,1.0,,,
Dan Monson,Long Beach State,Big West,25.0,9.0,0.735,,,Lost Second Round,2007-08,85.0,77.0,0.525,1.0,,,,255,200,0.56,3.0,1.0,,
Mark Montgomery,Northern Illinois,MAC,5.0,26.0,0.161,,,,2011-12,5.0,26.0,0.161,,,,,5,26,0.161,,,,
Mike Montgomery,California,Pac-12,24.0,10.0,0.706,24.0,,Lost First Round,2008-09,88.0,47.0,0.652,3.0,,,,634,292,0.685,15.0,3.0,1.0,
Chris Mooney,Richmond,A-10,16.0,16.0,0.5,,,,2005-06,128.0,103.0,0.554,2.0,1.0,,,146,115,0.559,2.0,1.0,,
Howard Moore,UIC,Horizon,8.0,22.0,0.267,,,,2010-11,15.0,46.0,0.246,,,,,15,46,0.246,,,,
Tom Moore,Quinnipiac,NEC,18.0,14.0,0.562,,,,2007-08,93.0,65.0,0.589,,,,,93,65,0.589,,,,
Stew Morrill,Utah State,WAC,21.0,16.0,0.568,,,,1998-99,345.0,119.0,0.744,8.0,,,,563,257,0.687,9.0,,,
Porter Moser,Loyola (IL),Horizon,7.0,23.0,0.233,,,,2011-12,7.0,23.0,0.233,,,,,112,124,0.475,,,,
LeVelle Moton,North Carolina Central,MEAC,17.0,15.0,0.531,,,,2009-10,39.0,52.0,0.429,,,,,39,52,0.429,,,,
Rob Murphy,Eastern Michigan,MAC,14.0,18.0,0.438,,,,2011-12,14.0,18.0,0.438,,,,,14,18,0.438,,,,
Scott Nagy,South Dakota State,Summit,27.0,8.0,0.771,,,Lost Second Round,2005-06,96.0,121.0,0.442,1.0,,,,96,121,0.442,1.0,,,
George Nessman,San Jose State,WAC,9.0,22.0,0.29,,,,2005-06,77.0,141.0,0.353,,,,,77,141,0.353,,,,
Jeff Neubauer,Eastern Kentucky,OVC,16.0,16.0,0.5,,,,2005-06,118.0,102.0,0.536,1.0,,,,118,102,0.536,1.0,,,
Gregg Nibert,Presbyterian,Big South,14.0,15.0,0.483,,,,2007-08,49.0,101.0,0.327,,,,,49,101,0.327,,,,
Kevin Nickelberry,Howard,MEAC,10.0,21.0,0.323,,,,2010-11,16.0,45.0,0.262,,,,,65,89,0.422,,,,
Dickey Nutt ,Southeast Missouri State,OVC,15.0,16.0,0.484,,,,2009-10,32.0,61.0,0.344,,,,,221,248,0.471,1.0,,,
Joe O'Brien,Idaho State,Big Sky,2.0,8.0,0.2,,,,2006-07,56.0,105.0,0.348,,,,,56,105,0.348,,,,
Fran O'Hanlon,Lafayette,Patriot,13.0,18.0,0.419,,,,1995-96,238.0,261.0,0.477,2.0,,,,238,261,0.477,2.0,,,
Kevin O'Neill ,USC,Pac-12,6.0,26.0,0.188,,,,2009-10,41.0,55.0,0.427,1.0,,,,212,235,0.474,4.0,1.0,,
Tim O'Shea,Bryant,NEC,2.0,28.0,0.067,,,,2008-09,20.0,99.0,0.168,,,,,140,194,0.419,1.0,,,
Louis Orr,Bowling Green State,MAC,16.0,16.0,0.5,,,,2007-08,76.0,82.0,0.481,,,,,176,162,0.521,2.0,,,
Matt Painter,Purdue,Big Ten,22.0,13.0,0.629,,,Lost Third Round,2005-06,160.0,77.0,0.675,6.0,2.0,,,185,82,0.693,7.0,2.0,,
Tom Parrotta,Canisius,MAAC,5.0,25.0,0.167,,,,2006-07,64.0,121.0,0.346,,,,,64,121,0.346,,,,
Josh Pastner,Memphis,CUSA,26.0,9.0,0.743,11.0,,Lost Second Round,2009-10,75.0,29.0,0.721,2.0,,,,75,29,0.721,2.0,,,
Jimmy Patsos,Loyola (MD),MAAC,24.0,9.0,0.727,,,Lost Second Round,2004-05,122.0,123.0,0.498,1.0,,,,122,123,0.498,1.0,,,
Dave Paulsen,Bucknell,Patriot,25.0,10.0,0.714,,,,2008-09,71.0,59.0,0.546,1.0,,,,71,59,0.546,1.0,,,
Eddie Payne,USC Upstate,A-Sun,21.0,13.0,0.618,,,,2007-08,48.0,105.0,0.314,,,,,154,253,0.378,1.0,,,
Steve Payne,Tennessee Tech,OVC,19.0,14.0,0.576,,,,2011-12,19.0,14.0,0.576,,,,,19,14,0.576,,,,
Tom Pecora,Fordham,A-10,10.0,19.0,0.345,,,,2010-11,17.0,40.0,0.298,,,,,172,166,0.509,,,,
Randy Peele,Winthrop,Big South,12.0,20.0,0.375,,,,2007-08,77.0,82.0,0.484,2.0,,,,123,151,0.449,3.0,,,
Buzz Peterson,UNC Wilmington,CAA,10.0,21.0,0.323,,,,2010-11,23.0,39.0,0.371,,,,,248,186,0.571,1.0,,,
Mark Phelps,Drake,MVC,18.0,16.0,0.529,,,,2008-09,62.0,69.0,0.473,,,,,62,69,0.473,,,,
Saul Phillips,North Dakota State,Summit,17.0,14.0,0.548,,,,2007-08,84.0,67.0,0.556,1.0,,,,84,67,0.556,1.0,,,
Steve Pikiell,Stony Brook,AEC,22.0,10.0,0.688,,,,2005-06,95.0,118.0,0.446,,,,,95,118,0.446,,,,
Dave Pilipovich,Air Force,MWC,2.0,6.0,0.25,,,,2011-12,2.0,6.0,0.25,,,,,2,6,0.25,,,,
J.P. Piper,Nicholls State,Southland,10.0,20.0,0.333,,,,2004-05,88.0,146.0,0.376,,,,,88,146,0.376,,,,
Rick Pitino ,Louisville,Big East,30.0,10.0,0.75,9.0,17.0,Lost National Semifinal,2001-02,275.0,106.0,0.722,9.0,4.0,2.0,,629,234,0.729,17.0,10.0,6.0,1.0
Lewis Preston,Kennesaw State,A-Sun,3.0,28.0,0.097,,,,2011-12,3.0,28.0,0.097,,,,,3,28,0.097,,,,
Steve Prohm,Murray State,OVC,31.0,2.0,0.939,,12.0,Lost Third Round,2011-12,31.0,2.0,0.939,1.0,,,,31,2,0.939,1.0,,,
Oliver Purnell,DePaul,Big East,12.0,19.0,0.387,,,,2010-11,19.0,43.0,0.306,,,,,413,322,0.562,6.0,,,
Barclay Radebaugh,Charleston Southern,Big South,19.0,12.0,0.613,,,,2005-06,88.0,123.0,0.417,,,,,88,123,0.417,,,,
Randy Rahe,Weber State,Big Sky,25.0,7.0,0.781,,,,2006-07,120.0,68.0,0.638,1.0,,,,120,68,0.638,1.0,,,
Brett Reed,Lehigh,Patriot,27.0,8.0,0.771,,,Lost Third Round,2007-08,94.0,63.0,0.599,2.0,,,,94,63,0.599,2.0,,,
Roger Reid,Southern Utah,Summit,14.0,17.0,0.452,,,,2007-08,54.0,97.0,0.358,,,,,206,174,0.542,5.0,,,
Eric Reveno,Portland,WCC,7.0,24.0,0.226,,,,2006-07,85.0,105.0,0.447,,,,,85,105,0.447,,,,
Jeff Reynolds,Air Force,MWC,11.0,10.0,0.524,,,,2007-08,63.0,82.0,0.434,,,,,63,82,0.434,,,,
Dave Rice,UNLV,MWC,26.0,9.0,0.743,,23.0,Lost Second Round,2011-12,26.0,9.0,0.743,1.0,,,,26,9,0.743,1.0,,,
King Rice,Monmouth,NEC,12.0,20.0,0.375,,,,2011-12,12.0,20.0,0.375,,,,,12,20,0.375,,,,
Leon Rice,Boise State,MWC,13.0,17.0,0.433,,,,2010-11,35.0,30.0,0.538,,,,,35,30,0.538,,,,
Mike Rice Jr,Rutgers,Big East,14.0,18.0,0.438,,,,2010-11,29.0,35.0,0.453,,,,,102,66,0.607,2.0,,,
Keith Richard,Louisiana-Monroe,Sun Belt,3.0,26.0,0.103,,,,2010-11,10.0,50.0,0.167,,,,,160,167,0.489,,,,
Luther Riley,Alcorn State,SWAC,10.0,22.0,0.312,,,,2011-12,10.0,22.0,0.312,,,,,10,22,0.312,,,,
Byron Rimm II,Prairie View,SWAC,14.0,18.0,0.438,,,,2006-07,73.0,114.0,0.39,,,,,73,114,0.39,,,,
Craig Robinson,Oregon State,Pac-12,21.0,15.0,0.583,,,,2008-09,64.0,71.0,0.474,,,,,94,99,0.487,,,,
Lorenzo Romar,Washington,Pac-12,24.0,11.0,0.686,,,,2002-03,219.0,113.0,0.66,6.0,3.0,,,312,201,0.608,7.0,3.0,,
Dave Rose,BYU,WCC,26.0,9.0,0.743,,,Lost Second Round,2005-06,185.0,54.0,0.774,6.0,1.0,,,185,54,0.774,6.0,1.0,,
Monte Ross,Delaware,CAA,18.0,14.0,0.562,,,,2006-07,71.0,117.0,0.378,,,,,71,117,0.378,,,,
Bo Ryan,Wisconsin,Big Ten,26.0,10.0,0.722,15.0,14.0,Lost Regional Semifinal,2001-02,268.0,101.0,0.726,11.0,5.0,,,298,128,0.7,11.0,5.0,,
Doc Sadler,Nebraska,Big Ten,12.0,18.0,0.4,,,,2006-07,101.0,89.0,0.532,,,,,149,107,0.582,1.0,,,
Scott Sanderson,Lipscomb,A-Sun,13.0,18.0,0.419,,,,2002-03,149.0,151.0,0.497,,,,,149,151,0.497,,,,
Mark Schmidt,St. Bonaventure,A-10,20.0,12.0,0.625,,,Lost Second Round,2007-08,74.0,80.0,0.481,1.0,,,,156,170,0.479,1.0,,,
Joe Scott,Denver,Sun Belt,22.0,9.0,0.71,,,,2007-08,80.0,74.0,0.519,,,,,169,182,0.481,1.0,,,
Bill Self,Kansas,Big 12,32.0,7.0,0.821,13.0,6.0,Lost National Final,2003-04,269.0,53.0,0.835,9.0,6.0,2.0,1.0,476,158,0.751,14.0,9.0,2.0,1.0
Herb Sendek,Arizona State,Pac-12,10.0,21.0,0.323,,,,2006-07,98.0,96.0,0.505,1.0,,,,352,254,0.581,7.0,1.0,,
Rob Senderoff,Kent State,MAC,21.0,12.0,0.636,,,,2011-12,21.0,12.0,0.636,,,,,21,12,0.636,,,,
Tony Shaver,William & Mary,CAA,6.0,26.0,0.188,,,,2003-04,103.0,172.0,0.375,,,,,103,172,0.375,,,,
Steve Shields,Little Rock,Sun Belt,15.0,16.0,0.484,,,,2003-04,147.0,128.0,0.535,1.0,,,,147,128,0.535,1.0,,,
John Shulman,Chattanooga,Southern,11.0,21.0,0.344,,,,2004-05,132.0,127.0,0.51,2.0,,,,132,127,0.51,2.0,,,
Larry Shyatt,Wyoming,MWC,21.0,12.0,0.636,,,,1997-98,40.0,21.0,0.656,,,,,110,105,0.512,,,,
Dave Simmons,McNeese State,Southland,17.0,16.0,0.515,,,,2006-07,87.0,99.0,0.468,,,,,87,99,0.468,,,,
Marty Simmons,Evansville,MVC,16.0,16.0,0.5,,,,2007-08,67.0,88.0,0.432,,,,,67,88,0.432,,,,
Pat Skerry,Towson,CAA,1.0,31.0,0.031,,,,2011-12,1.0,31.0,0.031,,,,,1,31,0.031,,,,
Jerry Slocum,Youngstown State,Horizon,16.0,15.0,0.516,,,,2005-06,74.0,136.0,0.352,,,,,74,136,0.352,,,,
Shaka Smart,VCU,CAA,29.0,7.0,0.806,,,Lost Third Round,2009-10,84.0,28.0,0.75,2.0,1.0,1.0,,84,28,0.75,2.0,1.0,1.0,
Kyle Smith,Columbia,Ivy,15.0,15.0,0.5,,,,2010-11,30.0,28.0,0.517,,,,,30,28,0.517,,,,
Tubby Smith,Minnesota,Big Ten,23.0,15.0,0.605,,,,2007-08,103.0,68.0,0.602,2.0,,,,490,213,0.697,16.0,9.0,1.0,1.0
Zach Spiker,Army,Patriot,12.0,18.0,0.4,,,,2009-10,37.0,52.0,0.416,,,,,37,52,0.416,,,,
Kevin Stallings,Vanderbilt,SEC,25.0,11.0,0.694,7.0,20.0,Lost Third Round,1999-00,261.0,159.0,0.621,6.0,2.0,,,384,222,0.634,8.0,2.0,,
Rick Stansbury,Mississippi State,SEC,21.0,12.0,0.636,,,,1998-99,293.0,166.0,0.638,6.0,,,,293,166,0.638,6.0,,,
Brad Stevens,Butler,Horizon,22.0,15.0,0.595,,,,2007-08,139.0,40.0,0.777,4.0,2.0,2.0,,139,40,0.777,4.0,2.0,2.0,
Scott Sutton,Oral Roberts,Summit,27.0,7.0,0.794,,,,1999-00,250.0,162.0,0.607,3.0,,,,250,162,0.607,3.0,,,
Billy Taylor,Ball State,MAC,15.0,15.0,0.5,,,,2007-08,69.0,84.0,0.451,,,,,150,153,0.495,1.0,,,
Blaine Taylor,Old Dominion,CAA,22.0,14.0,0.611,,,,2001-02,237.0,124.0,0.657,4.0,,,,378,190,0.665,6.0,,,
Rodney Terry,Fresno State,WAC,13.0,20.0,0.394,,,,2011-12,13.0,20.0,0.394,,,,,13,20,0.394,,,,
Isiah Thomas III,Florida International,Sun Belt,8.0,21.0,0.276,,,,2009-10,26.0,65.0,0.286,,,,,26,65,0.286,,,,
Bob Thomason,Pacific,Big West,11.0,19.0,0.367,,,,1988-89,414.0,309.0,0.573,4.0,,,,414,309,0.573,4.0,,,
Brooks Thompson,UTSA,Southland,18.0,14.0,0.562,,,,2006-07,96.0,91.0,0.513,1.0,,,,96,91,0.513,1.0,,,
John Thompson III,Georgetown,Big East,24.0,9.0,0.727,,15.0,Lost Third Round,2004-05,184.0,82.0,0.692,6.0,2.0,1.0,,252,124,0.67,8.0,2.0,1.0,
Jimmy Tillette,Samford,Southern,11.0,19.0,0.367,,,,1997-98,229.0,219.0,0.511,2.0,,,,229,219,0.511,2.0,,,
Wayne Tinkle,Montana,Big Sky,25.0,7.0,0.781,,,Lost Second Round,2006-07,116.0,71.0,0.62,2.0,,,,116,71,0.62,2.0,,,
Andrew Toole,Robert Morris,NEC,26.0,11.0,0.703,,,,2010-11,44.0,25.0,0.638,,,,,44,25,0.638,,,,
Mark Turgeon,Maryland,ACC,17.0,15.0,0.531,,,,2011-12,17.0,15.0,0.531,,,,,267,174,0.605,5.0,1.0,,
Russ Turner,UC-Irvine,Big West,12.0,20.0,0.375,,,,2010-11,25.0,39.0,0.391,,,,,25,39,0.391,,,,
Donnie Tyndall,Morehead State,OVC,18.0,15.0,0.545,,,,2006-07,114.0,85.0,0.573,2.0,,,,114,85,0.573,2.0,,,
Don Verlin,Idaho,WAC,19.0,14.0,0.576,,,,2008-09,69.0,60.0,0.535,,,,,69,60,0.535,,,,
Greg Vetrone,FDU,NEC,3.0,26.0,0.103,,,,2009-10,19.0,71.0,0.211,,,,,19,71,0.211,,,,
Rex Walters,San Francisco,WCC,20.0,14.0,0.588,,,,2008-09,62.0,66.0,0.484,,,,,93,99,0.484,,,,
Brian Wardle,Green Bay,Horizon,15.0,15.0,0.5,,,,2010-11,29.0,33.0,0.468,,,,,29,33,0.468,,,,
Cliff Warren,Jacksonville,A-Sun,8.0,22.0,0.267,,,,2005-06,100.0,114.0,0.467,,,,,100,114,0.467,,,,
Robert Washington,Grambling,SWAC,4.0,24.0,0.143,,,,2009-10,23.0,66.0,0.258,,,,,23,66,0.258,,,,
Gary Waters,Cleveland State,Horizon,22.0,11.0,0.667,,,,2006-07,122.0,82.0,0.598,1.0,,,,293,217,0.575,3.0,,,
Bruce Weber,Illinois,Big Ten,17.0,15.0,0.531,,,,2003-04,210.0,101.0,0.675,6.0,2.0,1.0,,313,155,0.669,8.0,3.0,1.0,
Michael White,Louisiana Tech,WAC,18.0,16.0,0.529,,,,2011-12,18.0,16.0,0.529,,,,,18,16,0.529,,,,
Kevin Willard,Seton Hall,Big East,21.0,13.0,0.618,,,,2010-11,34.0,31.0,0.523,,,,,79,80,0.497,,,,
Bob Williams,UCSB,Big West,20.0,11.0,0.645,,,,1998-99,237.0,181.0,0.567,3.0,,,,237,181,0.567,3.0,,,
Buzz Williams,Marquette,Big East,27.0,8.0,0.771,22.0,11.0,Lost Regional Semifinal,2008-09,96.0,45.0,0.681,4.0,2.0,,,110,62,0.64,4.0,2.0,,
Roy Williams,UNC,ACC,32.0,6.0,0.842,1.0,4.0,Lost Regional Final,2003-04,257.0,68.0,0.791,8.0,6.0,3.0,2.0,675,169,0.8,22.0,15.0,7.0,2.0
Corliss Williamson,Central Arkansas,Southland,8.0,21.0,0.276,,,,2010-11,13.0,45.0,0.224,,,,,13,45,0.224,,,,
Marty Wilson,Pepperdine,WCC,10.0,19.0,0.345,,,,1995-96,13.0,29.0,0.31,,,,,13,29,0.31,,,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,6.0,24.0,0.2,,,,2011-12,6.0,24.0,0.2,,,,,224,271,0.453,,,,
Reggie Witherspoon,Buffalo,MAC,20.0,11.0,0.645,,,,1999-00,184.0,208.0,0.469,,,,,184,208,0.469,,,,
Doug Wojcik,Tulsa,CUSA,17.0,14.0,0.548,,,,2005-06,140.0,92.0,0.603,,,,,140,92,0.603,,,,
Sean Woods,Mississippi Valley State,SWAC,21.0,13.0,0.618,,,Lost First Round,2008-09,50.0,80.0,0.385,1.0,,,,50,80,0.385,1.0,,,
Ted Woodward,Maine,AEC,12.0,17.0,0.414,,,,2004-05,100.0,136.0,0.424,,,,,100,136,0.424,,,,
Jim Wooldridge,UC-Riverside,Big West,14.0,17.0,0.452,,,,2007-08,64.0,87.0,0.424,,,,,245,276,0.47,1.0,,,
Jay Wright,Villanova,Big East,13.0,19.0,0.406,,,,2001-02,237.0,130.0,0.646,7.0,4.0,1.0,,359,215,0.625,9.0,4.0,1.0,
Jim Yarbrough,Southeastern Louisiana,Southland,12.0,17.0,0.414,,,,2005-06,108.0,99.0,0.522,,,,,108,99,0.522,,,,
Charlton Young,Georgia Southern,Southern,15.0,15.0,0.5,,,,2009-10,29.0,65.0,0.309,,,,,29,65,0.309,,,,
Mike Young,Wofford,Southern,19.0,14.0,0.576,,,,2002-03,156.0,153.0,0.505,2.0,,,,156,153,0.505,2.0,,,
Ernie Zeigler,Central Michigan,MAC,11.0,21.0,0.344,,,,2006-07,75.0,111.0,0.403,,,,,75,111,0.403,,,,
Casey Alexander,Stetson,A-Sun,15.0,16.0,0.484,,,,2011-12,24.0,36.0,0.4,,,,,24,36,0.4,,,,
Cy Alexander,North Carolina A&T,MEAC,20.0,17.0,0.541,,,Lost Second Round,2012-13,20.0,17.0,0.541,1.0,,,,363,323,0.529,6.0,,,
Steve Alford,New Mexico,MWC,29.0,6.0,0.829,,10.0,Lost Second Round,2007-08,155.0,52.0,0.749,3.0,,,,385,206,0.651,7.0,1.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,2.0,26.0,0.071,,,,2008-09,36.0,115.0,0.238,,,,,259,409,0.388,2.0,,,
Jerome Allen,Penn,Ivy,9.0,22.0,0.29,,,,2009-10,48.0,65.0,0.425,,,,,48,65,0.425,,,,
Dana Altman,Oregon,Pac-12,28.0,9.0,0.757,,25.0,Lost Regional Semifinal,2010-11,73.0,37.0,0.664,1.0,1.0,,,483,280,0.633,9.0,1.0,,
Tommy Amaker,Harvard,Ivy,20.0,10.0,0.667,,,Lost Third Round,2007-08,112.0,66.0,0.629,2.0,,,,288,205,0.584,3.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,19.0,13.0,0.594,,,,2011-12,37.0,27.0,0.578,,,,,237,125,0.655,6.0,2.0,,
Tevester Anderson,Jackson State,SWAC,11.0,18.0,0.379,,,,2003-04,149.0,170.0,0.467,1.0,,,,252,222,0.532,3.0,,,
Gib Arnold,Hawaii,Big West,17.0,15.0,0.531,,,,2010-11,52.0,44.0,0.542,,,,,52,44,0.542,,,,
Ronnie Arrow,South Alabama,Sun Belt,5.0,5.0,0.5,,,,1987-88,211.0,161.0,0.567,3.0,,,,306,210,0.593,4.0,,,
Kevin Baggett,Rider,MAAC,19.0,15.0,0.559,,,,2012-13,19.0,15.0,0.559,,,,,19,15,0.559,,,,
Roman Banks,Southern,SWAC,23.0,10.0,0.697,,,Lost Second Round,2011-12,40.0,24.0,0.625,1.0,,,,40,24,0.625,1.0,,,
Tony Barbee,Auburn,SEC,9.0,23.0,0.281,,,,2010-11,35.0,59.0,0.372,,,,,117,111,0.513,1.0,,,
Rick Barnes,Texas,Big 12,16.0,18.0,0.471,,,,1998-99,358.0,155.0,0.698,14.0,5.0,1.0,,560,289,0.66,20.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,Ind,14.0,16.0,0.467,,,,2011-12,30.0,31.0,0.492,,,,,216,220,0.495,3.0,1.0,,
Jim Baron,Canisius,MAAC,20.0,14.0,0.588,,,,2012-13,20.0,14.0,0.588,,,,,409,383,0.516,2.0,,,
Murry Bartow,ETSU,A-Sun,10.0,22.0,0.312,,,,2003-04,189.0,135.0,0.583,3.0,,,,292,218,0.573,4.0,,,
Duggar Baucom,VMI,Big South,14.0,17.0,0.452,,,,2005-06,118.0,127.0,0.482,,,,,118,127,0.482,,,,
John Becker,Vermont,AEC,21.0,12.0,0.636,,,,2011-12,45.0,24.0,0.652,1.0,,,,45,24,0.652,1.0,,,
John Beilein,Michigan,Big Ten,31.0,8.0,0.795,5.0,10.0,Lost National Final,2007-08,122.0,85.0,0.589,4.0,1.0,1.0,,415,260,0.615,8.0,3.0,1.0,
Tony Benford,North Texas,Sun Belt,12.0,20.0,0.375,,,,2012-13,12.0,20.0,0.375,,,,,12,20,0.375,,,,
Randy Bennett,Saint Mary's,WCC,28.0,7.0,0.8,,,Lost Second Round,2001-02,263.0,125.0,0.678,5.0,1.0,,,263,125,0.678,5.0,1.0,,
Tony Bennett,Virginia,ACC,23.0,12.0,0.657,,,,2009-10,76.0,53.0,0.589,1.0,,,,145,86,0.628,3.0,1.0,,
Dave Bezold,Northern Kentucky,A-Sun,11.0,16.0,0.407,,,,2012-13,11.0,16.0,0.407,,,,,11,16,0.407,,,,
Eddie Biedenbach,UNC Asheville,Big South,16.0,16.0,0.5,,,,1996-97,256.0,258.0,0.498,3.0,,,,285,309,0.48,3.0,,,
Dave Bike,Sacred Heart,NEC,9.0,20.0,0.31,,,,1999-00,154.0,255.0,0.377,,,,,154,255,0.377,,,,
Jim Boeheim ,Syracuse,Big East,30.0,10.0,0.75,9.0,16.0,Lost National Semifinal,1976-77,920.0,314.0,0.746,30.0,17.0,4.0,1.0,920,314,0.746,30.0,17.0,4.0,1.0
Ken Bone,Washington State,Pac-12,13.0,19.0,0.406,,,,2009-10,70.0,65.0,0.519,,,,,147,114,0.563,2.0,,,
David Boots,South Dakota,Summit,10.0,20.0,0.333,,,,2009-10,60.0,63.0,0.488,,,,,60,63,0.488,,,,
Tad Boyle,Colorado,Pac-12,21.0,12.0,0.636,,,Lost Second Round,2010-11,69.0,38.0,0.645,2.0,,,,125,104,0.546,2.0,,,
Todd Bozeman ,Morgan State,MEAC,17.0,15.0,0.531,,,,2006-07,128.0,100.0,0.561,2.0,,,,191,135,0.586,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,19.0,12.0,0.613,,,,2008-09,80.0,78.0,0.506,,,,,361,294,0.551,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,21.0,15.0,0.583,,,Lost Second Round,2008-09,88.0,82.0,0.518,1.0,,,,161,132,0.549,1.0,,,
Glenn Braica,St. Francis (NY),NEC,12.0,18.0,0.4,,,,2010-11,42.0,48.0,0.467,,,,,42,48,0.467,,,,
Bobby Braswell,Cal State Northridge,Big West,14.0,17.0,0.452,,,,1996-97,251.0,258.0,0.493,2.0,,,,251,258,0.493,2.0,,,
Ben Braun,Rice,CUSA,5.0,26.0,0.161,,,,2008-09,56.0,105.0,0.348,,,,,459,392,0.539,8.0,2.0,,
Mike Brey,Notre Dame,Big East,25.0,10.0,0.714,22.0,23.0,Lost Second Round,2000-01,285.0,142.0,0.667,9.0,1.0,,,384,194,0.664,11.0,1.0,,
Horace Broadnax,Savannah State,MEAC,19.0,15.0,0.559,,,,2005-06,105.0,138.0,0.432,,,,,147,226,0.394,,,,
Larry Brown,SMU,CUSA,15.0,17.0,0.469,,,,2012-13,15.0,17.0,0.469,,,,,192,78,0.711,7.0,4.0,3.0,1.0
Matt Brown,Kansas City,Summit,8.0,24.0,0.25,,,,2007-08,64.0,122.0,0.344,,,,,64,122,0.344,,,,
Milan Brown,Holy Cross,Patriot,12.0,18.0,0.4,,,,2010-11,35.0,53.0,0.398,,,,,130,173,0.429,1.0,,,
Will Brown,Albany (NY),AEC,24.0,11.0,0.686,,,Lost Second Round,2001-02,172.0,191.0,0.474,3.0,,,,172,191,0.474,3.0,,,
Brad Brownell,Clemson,ACC,13.0,18.0,0.419,,,,2010-11,51.0,45.0,0.531,1.0,,,,218,130,0.626,4.0,,,
Mitch Buonaguro,Siena,MAAC,8.0,24.0,0.25,,,,2010-11,35.0,59.0,0.372,,,,,107,162,0.398,2.0,,,
Rick Byrd,Belmont,OVC,26.0,7.0,0.788,,,Lost Second Round,1999-00,273.0,165.0,0.623,6.0,,,,273,165,0.623,6.0,,,
Jeff Bzdelik,Wake Forest,ACC,13.0,18.0,0.419,,,,2010-11,34.0,60.0,0.362,,,,,145,165,0.468,1.0,,,
John Calipari ,Kentucky,SEC,21.0,12.0,0.636,3.0,,,2009-10,123.0,26.0,0.826,3.0,3.0,2.0,1.0,568,166,0.774,14.0,10.0,4.0,1.0
